	subjects	classes	status	B0	Dice	HD95
79	sub_20	ClsAvgB0err	without_pp	0.07692307692307693	0.8556222025787064	0.6855306613903779
80	sub_1	L-ACA	without_pp	0.0	0.8905516804058338	3.3873147487640227
81	sub_2	L-ACA	without_pp	0.0	0.7342527021990309	0.6144505739212036
82	sub_3	L-ACA	without_pp	1.0	0.9254755222949798	0.3571434020996094
83	sub_4	L-ACA	without_pp	0.0	0.9296024872307351	0.3571434020996094
84	sub_5	L-ACA	without_pp	0.0	0.8550479413423576	0.7142848968505859
85	sub_6	L-ACA	without_pp	0.0	0.8590547887913007	3.999990463256836
86	sub_7	L-ACA	without_pp	0.0	0.8372093023255813	0.5000057220458984
87	sub_8	L-ACA	without_pp	0.0	0.9281196089706729	0.35714292526245117
88	sub_9	L-ACA	without_pp	0.0	0.9318463444857498	0.3571434020996094
89	sub_10	L-ACA	without_pp	1.0	0.7981438515081206	5.771600055694579
90	sub_11	L-ACA	without_pp	0.0	0.9275818639798489	0.35714335441589357
91	sub_12	L-ACA	without_pp	2.0	0.6855123674911661	3.4024861097335766
92	sub_13	L-ACA	without_pp	0.0	0.9534029935046596	0.35714292526245117
93	sub_14	L-ACA	without_pp	0.0	0.9482532177567639	0.35714292526245117
94	sub_15	L-ACA	without_pp	2.0	0.7468354430379746	1.1271240711212158
95	sub_16	L-ACA	without_pp	0.0	0.8704839809134288	0.5000028610229492
96	sub_17	L-ACA	without_pp	0.0	0.9401122894572675	0.3571434020996094
97	sub_18	L-ACA	without_pp	1.0	0.8435544430538172	2.022142076492311
98	sub_19	L-ACA	without_pp	0.0	0.9048169556840077	0.5000004768371582
99	sub_20	L-ACA	without_pp	0.0	0.8942598187311178	0.7141059309244158
100	sub_1	L-ICA	without_pp	1.0	0.9448400102942438	0.3571434020996094
101	sub_2	L-ICA	without_pp	1.0	0.6452035563874591	1.8084222316741942
102	sub_3	L-ICA	without_pp	0.0	0.9540549560574035	0.3571434020996094
103	sub_4	L-ICA	without_pp	0.0	0.9405693176879618	0.4999990463256836
104	sub_5	L-ICA	without_pp	0.0	0.9231459330143541	0.3571434020996094
105	sub_6	L-ICA	without_pp	0.0	0.9543664581885568	0.3571434020996094
106	sub_7	L-ICA	without_pp	0.0	0.9321654863958255	0.3571434020996094
107	sub_8	L-ICA	without_pp	1.0	0.9218126320732567	0.3571434020996094
108	sub_9	L-ICA	without_pp	0.0	0.9651076466221232	0.35714292526245117
109	sub_10	L-ICA	without_pp	0.0	0.9530534351145038	0.3571434020996094
110	sub_11	L-ICA	without_pp	0.0	0.9541711977629329	0.3571434020996094
111	sub_12	L-ICA	without_pp	0.0	0.9105522426756547	0.3571434020996094
112	sub_13	L-ICA	without_pp	0.0	0.9570863918690006	0.3571434020996094
113	sub_14	L-ICA	without_pp	0.0	0.9513208667260316	0.3571434020996094
114	sub_15	L-ICA	without_pp	0.0	0.9283813210742802	0.3571434020996094
115	sub_16	L-ICA	without_pp	0.0	0.9041548630783758	0.3571434020996094
116	sub_17	L-ICA	without_pp	1.0	0.9540798711013926	0.3571434020996094
117	sub_18	L-ICA	without_pp	0.0	0.9103189493433396	0.3571434020996094
118	sub_19	L-ICA	without_pp	1.0	0.951268167569108	0.3571434020996094
119	sub_20	L-ICA	without_pp	0.0	0.9679588977113498	0.3571434020996094
120	sub_1	L-MCA	without_pp	0.0	0.893719806763285	0.6240757763385795
121	sub_2	L-MCA	without_pp	0.0	0.7465240641711229	0.7142829895019531
122	sub_3	L-MCA	without_pp	0.0	0.9087749782797567	0.5000038146972656
123	sub_4	L-MCA	without_pp	0.0	0.9293849658314352	0.3571434020996094
124	sub_5	L-MCA	without_pp	0.0	0.8355957767722474	0.5050763487815857
125	sub_6	L-MCA	without_pp	0.0	0.8220640569395018	0.7142868041992188
126	sub_7	L-MCA	without_pp	0.0	0.869179600886918	0.3571434020996094
127	sub_8	L-MCA	without_pp	0.0	0.8905109489051095	0.3571434020996094
128	sub_9	L-MCA	without_pp	0.0	0.9156010230179028	0.3571434020996094
129	sub_10	L-MCA	without_pp	0.0	0.8641221374045801	0.7107078433036804
130	sub_11	L-MCA	without_pp	0.0	0.9029275808936826	0.3571434020996094
131	sub_12	L-MCA	without_pp	0.0	0.8431372549019608	0.6035120964050268
132	sub_13	L-MCA	without_pp	0.0	0.8783382789317508	0.5050758242607116
133	sub_14	L-MCA	without_pp	0.0	0.8545727136431783	0.6144513487815857
134	sub_15	L-MCA	without_pp	0.0	0.873015873015873	0.5000019073486328
135	sub_16	L-MCA	without_pp	0.0	0.8680738786279684	0.5000028610229492
136	sub_17	L-MCA	without_pp	0.0	0.9203252032520326	0.3571434020996094
137	sub_18	L-MCA	without_pp	0.0	0.9060402684563758	0.3571434020996094
138	sub_19	L-MCA	without_pp	0.0	0.7678571428571428	0.7142868041992188
139	sub_20	L-MCA	without_pp	0.0	0.9269746646795828	0.3571434020996094
140	sub_1	L-PCA	without_pp	0.0	0.9561910128187069	0.3571434020996094
141	sub_2	L-PCA	without_pp	1.0	0.06388642413487133	9.023058748245239
142	sub_3	L-PCA	without_pp	2.0	0.6199078993978038	4.614882755279538
143	sub_4	L-PCA	without_pp	0.0	0.8901734104046243	0.5
144	sub_5	L-PCA	without_pp	0.0	0.848643006263048	0.7107062339782715
145	sub_6	L-PCA	without_pp	0.0	0.8843212237093689	0.7107051610946655
